	smiles
61	COc1ccc2O[C@]3(Oc4ccc(OC)cc4[C@@H](\C=C\c5ccc(Br)cc5)[C@H]3Cc2c1)c6ccc(Br)cc6
62	CCOc1c(C(=O)\C=C\c2cccc(O)c2)c(O)c(OC)c3occc13
63	OCC1O[C@@H](OC2=C(COC(=O)\C=C\c3ccc(O)cc3)OC=CC2=O)[C@@H](O)[C@@H](O)[C@@H]1O
64	Cc1nnc(c2cccc(c2)c3ccccc3)n1c4ccccc4F
65	CN1C(=Nc2cc(Cl)ccc2C1=O)NCCc3ccc(cc3)c4ccc(F)cn4
66	Cc1oc(nc1COc2ccccc2)c3ccc(cc3)C(=O)Nc4ccc(F)cc4F
67	Nc1nc(F)nc2c1ncn2[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O
68	Cc1ccc(OCC(=O)OCC2=CC(=O)N3C=CSC3=N2)cc1C
69	Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc3csc(n3)c4ncccn4
70	Cc1nn(C2CCCC2)c3NC(=O)CSC(c4ccc5OCOc5c4)c13
71	C(CC(C1CCCCC1)C2CCCCC2)NC3CCCCC3
72	CCOC(=O)[C@@H]1C[C@H]2[C@H](CCCC/C/2=N\OCc3ccccc3)N1S(=O)(=O)c4ccc(C)cc4
73	Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)O)n2
74	Fc1ccc(cc1)C2=NN(CCc3ccccn3)C(=O)O2
75	OC(=O)c1cc(c2ccccc2c1O)S(=O)(=O)Nc3ccccc3C(F)(F)F
76	CCC1=NN(CC(=O)NCc2ccccc2)C(=O)c3cccn13
77	COc1ccc(cc1)c2cc(c3cccc(c3)[N+](=O)[O-])c4C5=Nc6c(Br)cc(Br)cc6C(=O)N5C=Nc4n2
78	[Cl-].COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OCCOCCN6CCOCC6
79	Cc1ccc(NC(=O)\C=C\C(=O)O)cc1C
80	CO[C@@H]1CC\C(=C\[C@H]2OC(=O)C(=C)[C@@H]2CC(=O)C1=C)\COC(=O)C(C)C
81	CCCCCOSN(N(C(=O)c1cc(C)cc(C)c1)C(C)(C)C)C(=O)c2ccc(CC)cc2
82	COc1cc(ccc1c2cn[nH]c2)C(=NC(C=C)c3c(F)cccc3F)O
83	Cc1ccc(Nc2ccnc(Nc3ccc(F)c(Cl)c3)n2)cc1O
84	CCOc1ccc(C[C@@H](N=C(O)C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=NCc3ccc(CN)cc3)O)cc1
85	COc1cc(OC)c(\C=C\c2nccc3ccccc23)cc1OC
86	FC(F)(F)C1CCC(CC1)c2cc(cc3[nH]c(nc23)N4CCN(CC4)c5ncccc5C(F)(F)F)C(F)(F)F
87	O=C1C=C(OCc2ccccc2)C=CN1c3ccc4c(cnn4CCN5CCOCC5)c3
88	OC(=O)CN1C=Nc2ccc(Br)cc2C1=O
89	O[C@@H]1[C@@H](COP(=O)(O)O)O[C@H]([C@@H]1OCCCNC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)n4cnc5c(Cl)ncnc45
90	C=CCN1C(=O)N(c2cccc3CCCCc23)c4ncccc14
91	OC(c1cc(F)cc(Sc2ccc3OC(=O)C=C(c4ccc(F)cc4)c3c2)c1)(C(F)(F)F)C(F)(F)F
92	CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCC(O)CO)c4ccc(OC(F)F)cc34
93	Cc1ccc(C)c2nc(Cl)c(cc12)C#N
94	Clc1ccc2C(=O)C(=CN(c3ccccc3)c2c1)CNC(=O)c4cnn(c4)c5ccccc5
95	COc1cc2CCN(Cc3ncccc3C(=O)O)Cc2cc1OC
96	OC(=O)C(=O)O.Clc1ccc(CCNCC(=O)Nc2ccc(cc2)C(=O)N3CCCCC3)cc1
97	CN(C)[C@@H]1CCCC[C@H]1NC(=O)c2ccc(Cl)c(Cl)c2
98	CC(C)c1ccc2c(CC[C@H]3[C@@](C)(CCC[C@]23C)C(=O)Nc4ccccc4Cl)c1
99	Cc1csc(NC(=O)CSc2nnc3c4ccccc4nc(n23)C(C)(C)C)n1
100	COc1cc(OC)nc(Oc2cccc(c3ccccc3)c2C(=O)O)n1
101	O=C1NCCc2cc(COc3ccccc3)ncc12
102	Cc1cccc2NC(=O)\C(=N/NC(=O)Cc3ccc(O)cc3)\c12
103	COc1ccc2nccc(c2c1)n3cc4CC(CCc4n3)NC(=O)c5cc6NC(=O)CSc6cc5C(F)(F)F
104	NC(=O)c1cc2c(cncc2s1)c3ccc(F)cc3
105	CCCO[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N2CCOCC2)C(=O)N[C@@H](CC3CCCCC3)C(O)C(F)(F)C(=O)NCCN4CCOCC4
106	COc1cc(CO)ccc1Oc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-]
107	OC(=O)c1ccc(NN=Cc2cc(O)nc(O)n2)cc1
108	CC(C)COC[C@H](CN(Cc1ccccc1)c2ccccc2)N3CCCC3
109	NS(=O)(=O)c1ccc(NC(=S)N2CCC(O)CC2)cc1
110	CCCc1cc(c2ccc(O)c(OCC)c2)c(C#N)c(N)n1
111	O[C@H](C(=O)O)c1ccc(cc1)[As](=O)(O)O
112	CC(NC1=NC(=O)N(C)C(=O)/C/1=N\O)c2ccccc2
113	COCCNC(=O)c1ccc(N2CC3CC(C2)C4=CC=CC(=O)N4C3)c(c1)[N+](=O)[O-]
114	OCC(O)CNc1cc(nc2ccccc12)C3CCc4ccccc4C3
115	NC1=NC(=O)N(C=C1)[C@H]2C[C@H](CO)C(CO)(CO)O2
116	CCOC(=O)C1=C(OC2CCCCC2)C(=C(C)NC1=O)CC
117	COc1ncc(F)c(Nc2[nH]nc3c2CN(C(=O)N[C@H](CN(C)C)c4ccccc4)C3(C)C)n1
118	C[C@@H]1CC[C@@H](C)N1CCCOc2ccc(cc2)n3c(nc4cc(F)ccc34)c5ccccn5
119	Cc1cc(C)nc(n1)N2CCN(CC2)c3ccn4c(CC(F)(F)F)cnc4c3C#N
120	CCOc1ccc(NS(=O)(=O)c2cc(ccc2Cl)C(=O)N3CCC3)cc1
121	CNC(=O)c1cc(CSc2ncc(C#N)c(c3ccc(OCCO)cc3)c2C#N)ccn1
122	CC(C)CN1CCN(C)CC1C2=NCCN2
123	CO[C@@]12CCN(C)C[C@H]1[C@@H](C(=C(N)O2)C#N)c3ccc(Br)cc3
124	CC(=O)N1CCCN(Cc2cn(nc2c3cccc(F)c3)c4cccc(C)c4)CC1
125	CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3cc4ccccn4n3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F
126	COc1ccc(cc1)c2sc(COc3ccc(OCC(=O)O)c(C)c3)nc2C
127	CCCNC(=O)c1ccc(Cl)cc1NC(=O)c2ccccc2Cl
128	[O-][N+](=O)c1ccc(cc1)C(=O)N2CCOCC2
129	Cl.CCCCC\N=C(/N)\n1cccn1
130	Cl.NCCc1cn(Cc2ccc(cc2)c3cccc(c3)C(F)(F)F)c4ccc(OCCc5ccc(O)cc5)cc14
131	C[C@@H]1CN(CCc2ccccc2)C[C@]13CCN(CC(=O)N(C)C)C3=O
132	CN1CCC[C@H]1COc2cnc(Cl)c(\C=C\c3ccncc3)c2
133	O=C1N(N=C(c2ccc(OCCCC[P+](c3ccccc3)(c4ccccc4)c5ccccc5)cc2)c6ccccc16)c7cccs7
134	CN(CCO)CC(O)Cn1c2ccc(Cl)cc2c3cc(Cl)ccc13
135	Cc1nn(nc1C(=O)NC2CCN(CCNC(=O)c3ccc(Cl)c(Cl)c3)CC2)c4ccccc4.OC(=O)C(F)(F)F
136	CN1CC[C@H]1COc2cncnc2
137	Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc4CCNC(=O)c4c(c3)C5CCOCC5
138	Cc1ccc(OCc2nnc(NC(=O)Cc3cccs3)s2)cc1
139	CCOC(=O)COCCCn1cnc2c(N)ncnc12
140	COC(=O)[C@@H]1C[C@@]23[C@@H](N(C)c4ccc(OC)cc24)C(=C(N=C3N1S(=O)(=O)c5ccc(cc5)[N+](=O)[O-])C(=O)OC)C(=O)OC
141	CCCCCCC1=C(c2ccccc2)[C@@]3(CCC[C@@H]3C1)C(=C)c4ccc(C)cc4
142	COc1ccc(NC(=O)CSCC(=O)N(C)Cc2cccc(OC)c2OC)cc1
143	CCN1CC(CC1=O)NC(=O)c2ccc3cc(Oc4ccc(cn4)C(F)(F)F)ccc3n2
144	CC1=CC(=O)Oc2cc(NC(=O)Cc3ccc(NC(=O)Cc4ccccc4)cc3)ccc12
145	CN(C)CCN1CC[C@@H]([C@@H](C1)NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C(=O)NO
146	C(Nc1cc2c(cn1)[nH]c3ccccc23)c4cccc(OCc5ccccc5)c4
147	COC(=O)c1ccccc1S(=O)(=O)N2CCC(CC2)C(=O)NC3CCCCC3C
148	CCOC(=O)C1CCCN(C1)C(=O)c2ccccc2SCC
149	Nc1ncnc2c1c(nn2CC3CCNCC3)c4ccc5cc(OCC=C)ccc5c4
150	O=C(CCc1ccccc1)Nc2oc(nn2)c3ccc4OCCOc4c3
151	COc1cccc(c1)C(=O)Nc2cccc(CCN3CCN(CC3)c4cccc5nc(C)ccc45)c2
